lion,2.8930,6.6117,10.1565,10.1179,20.2612,13.4398,21.0357
lion,3.1273,7.2084,21.0242,21.0242,42.0484,24.6284,67.4307
lion,2.8930,6.6117,10.1565,10.1179,20.2612,13.4398,21.0357
lion,2.8768,6.5025,10.6501,10.9313,21.9365,14.1834,21.8232
lion,2.8773,6.3424,9.9462,10.1423,20.9668,13.5663,20.1926
lion,2.9416,7.5932,9.9620,10.5548,21.5304,nan,20.8214
lion,2.8913,6.6177,10.2121,10.6093,21.1125,14.1198,nan
elephant,2.9868,7.3024,9.9141,9.9821,21.8575,14.3774,nan
elephant,2.8706,6.5008,10.2734,10.3983,nan,nan,nan
elephant,2.8780,6.6128,10.7745,10.0464,nan,14.1006,nan
elephant,2.9754,7.0368,10.0677,9.9804,20.0586,13.5754,nan
elephant,2.9754,7.0368,10.0677,9.9804,20.0586,13.5754,nan
elephant,2.5187,6.2827,9.4661,8.4564,18.2117,12.0170,nan
elephant,2.3867,6.3704,9.8093,8.1582,nan,nan,17.1535
elephant,1.5951,6.0975,8.6632,6.1699,nan,9.3162,nan
elephant,2.4577,5.9327,9.7123,8.6159,18.3762,11.7096,17.7945
elephant,2.4577,5.9327,9.7123,8.6159,18.3762,11.7096,17.7945
elephant,2.9040,7.1745,10.8021,10.7463,nan,nan,21.6362
elephant,2.9359,7.0572,10.4586,10.2941,nan,nan,20.8630
elephant,2.1946,5.5679,8.4809,7.9879,16.3234,11.1675,16.4370
lion,2.9029,6.5534,9.4587,10.3948,20.3962,13.6718,20.5894
lion,2.8387,6.4277,10.0622,10.1920,20.6129,13.7566,20.3840
lion,3.0701,7.2805,10.4239,12.2998,nan,16.3014,23.6640
lion,2.8193,6.7184,9.0954,9.5538,19.0123,12.9785,nan
lion,2.9892,6.6904,10.7709,11.3081,23.0738,14.7469,nan
lion,2.5172,7.2276,10.5464,9.8371,20.0373,nan,nan
